id,element,claim,canonical_wording,importance,number,population_window,status,caveat,source,report,paper,narrative
1.1,The puzzle,"Greek subjective poverty is the EU's highest, every year since 2011","Greek subjective poverty is the EU's highest, every year since 2011",spine,67.2% vs EU 17.6%,"Greece, 2025",core,self-reported measure,master_table.csv,body,body,body
1.2,The puzzle,AROP is elevated but not exceptional,AROP is elevated but not exceptional,spine,"19.6%, 4th of 27","Greece, 2025",core,"relative-income measure, not a living-standards indicator",master_table.csv,body,body,body
1.3,The puzzle,The AROP gap is >3x the next largest in the EU,The AROP gap is >3x the next largest in the EU,spine,47.6pt vs Bulgaria 14.9pt,"Greece, 2025",core,,arop_subjective_snapshot_2025.csv,body,body,body
1.4,The puzzle,The gap predates the crisis,The gap predates the crisis,spine,48% subjective vs 20.7% AROP,"Greece, 2003",core,only 6 countries in EU-SILC in 2003,master_table.csv,body,body,body
2.1,Shrinking ruler,The real poverty threshold fell with median income,The real poverty threshold fell with median income,spine,100 -> 65 (2008=100),"Greece, 2008-2016",core,,analysis_dataset.csv,body,body,body
2.2,Shrinking ruler,AROP barely moved while the threshold collapsed,AROP barely moved while the threshold collapsed,spine,20.1% -> 21.2%,"Greece, 2008-2016",core,,analysis_dataset.csv,body,body,body
2.3,Shrinking ruler,Anchored poverty roughly doubled during the crisis,Anchored poverty roughly doubled during the crisis,spine,~20% -> ~41%,"Greece, 2008-2014",core,approximation; least reliable in 2012-2014 where effect is largest,anchored_poverty.csv,body,body,body
2.4,Shrinking ruler,Anchored method validated against the official 2019-anchored series,Anchored method validated against the official 2019-anchored series,spine,"MAE 1.22pt, r=0.89","Greece, 2019-2025",core,validated years needed no extrapolation; crisis years do,anchored_validation.csv,body,note,note
2.5,Shrinking ruler,Independent microdata finds a LARGER effect than this reconstruction,Independent microdata finds a LARGER effect than this reconstruction,spine,48% vs this report's 40.6%,"Greece, income yr 2013",core,"different anchor year, data source, price index",Andriopoulou et al. 2019/2020,body,body,note
3.1,AROPE bridge,AROPE narrows the gap but does not close it,AROPE narrows the gap but does not close it,spine,"39.7pt, still largest in EU","Greece, 2025",core,,arope_subjective_snapshot_2025.csv,body,body,body
3.2,AROPE bridge,AROPE cannot be reconstructed from aggregate data,AROPE cannot be reconstructed from aggregate data,spine,component overlap unpublished,structural,limitation,requires EU-SILC microdata,n/a,body,body,note
3.3,AROPE bridge,"AROPE has a 2020/2021 methodology break, spliced not blended","AROPE has a 2020/2021 methodology break, spliced not blended",spine,ilc_peps01 -> ilc_peps01n,2003-2025,limitation,,docs/comparability_notes.md,note,note,note
4.1,Current hardship,Basic model leaves Greece the largest EU residual,Basic model leaves Greece the largest EU residual,spine,"25.6pt OOS, 1st of 27","27 EU, 2015-2024",core,,model_scorecard.csv,body,body,body
4.2,Current hardship,"Housing + cash-flow strain narrow it, non-monotonically OOS","Housing + cash-flow strain narrow it, non-monotonically OOS",spine,25.6 -> 35.5 -> 11.6,"27 EU, 2015-2024",core,housing alone makes OOS worse,scorecard_loo_*.csv,body,body,body
