id,movement,canonical_wording,status,evidence,tier,headline_eligible,caveats,report,paper,narrative,appendix,supersedes,legacy_only,narrative_level
V2-1.1,1. The puzzle,"The outcome is Eurostat's official subjective-hardship indicator, extended backwards before 2010 using a constructed series validated against it on 432 overlapping country-years.",retained,p0_verdict.csv,pre-planned confirmatory,False,"pre-2010 provenance is ours, not Eurostat's",body,body,body,table,,False,"The measure is the official European one, carried further back in time."
V2-1.2,1. The puzzle,"Greek subjective hardship runs 52.6 points above relative income poverty on average, and Greece ranks first of 27 on hardship while ranking seventh on AROP.",retained,"e_descriptives.csv, e_descriptive_ranks.csv",descriptive corroboration,True,,body,body,body,table,,False,Greeks report far more difficulty than the official poverty rate suggests.
V2-2.1,2. AROPE narrows the gap,"Switching to AROPE closes 9.8 of those 52.6 points (19%), leaving 42.8 unexplained, and its contribution shrinks from 11.0 points in 2015 to 7.3 in 2024.",retained,e_descriptives.csv,descriptive corroboration,True,,body,body,body,table,,False,"The EU's broader measure helps, but closes only about a fifth of the gap."
V2-3.1,3. The hardship is real,"Reported difficulty co-moves with arrears, inability to meet an unexpected expense, inadequate heating and severe deprivation at within-country correlations of 0.63 to 0.80.",retained,e3_results.csv,descriptive corroboration,True,"same-instrument corroboration, NOT independent validation | all items and the outcome come from EU-SILC | not uniform: arrears within Greece is 0.371",body,body,body,table,,False,"When a country's reported difficulty rises, its unpaid bills and cold homes rise with it."
V2-3.2,3. The hardship is real,Those same four items statistically absorb 71% of Greece's baseline residual (+46.92 to +13.74).,retained,e3_restatement.csv,descriptive corroboration,False,"ABSORPTION, never explanation | shared instrument is not shared cause | diagnostic only; never a headline explanation",body,body,body,table,,False,Measures this close to the question can make the puzzle vanish without explaining it.
V2-4.C1,4. Current conditions,"Material resources (aic_pps_pc) predicts hardship beyond AROP and year effects (coef -0.0013, wild-cluster bootstrap p=0.0055).",retained,e1_results.csv,pre-planned confirmatory,True,cross-country association | no causal claim,body,body,body,table,,False,"Countries differ in what a country has to spend, and that tracks reported hardship."
V2-4.C2,4. Current conditions,"Labour-market exclusion (ltu_rate) predicts hardship beyond AROP and year effects (coef +4.3402, wild-cluster bootstrap p=0.0085).",retained,e1_results.csv,pre-planned confirmatory,True,cross-country association | no causal claim,body,body,body,table,,False,"Countries differ in how many are locked out of work for years, and that tracks reported hardship."
V2-4.C4,4. Current conditions,"Wage-adjusted affordability (wadj_a01) predicts hardship beyond AROP and year effects (coef +0.3110, wild-cluster bootstrap p=0.0005).",retained,e1_results.csv,pre-planned confirmatory,True,cross-country association | no causal claim,body,body,body,table,,False,"Countries differ in what a local paycheck buys, and that tracks reported hardship."
V2-4.X,4. Current conditions,"Six of nine current-level constructs are inconclusive under available power, not unsupported; two cleared FDR and collapsed under the bootstrap (p=0.40 and 0.55).",retained,e1_results.csv,pre-planned confirmatory,False,inconclusive is not evidence of absence,body,body,body,table,,False,Most candidates could not be tested sharply enough to say either way.
V2-5.C2,5. Accumulated history,Accumulated excess unemployment predicts hardship (bootstrap p=0.0025) and retains a cross-country association after its current-level counterpart is controlled (conditional bootstrap p=0.0025).,retained,"e4_results.csv, e7_results.csv",post-selection robustness,True,cross-country association | no demonstrated within-Greece dynamic | no causal claim | current conditions not ruled out,body,body,body,table,,False,"Countries differ in how much unemployment a country has absorbed since the crisis, and that still tracks hardship once today's conditions are accounted for."
V2-5.C3,5. Accumulated history,Duration of real wages below their 2008 level predicts hardship (bootstrap p=0.0245) and retains a cross-country association after its current-level counterpart is controlled (conditional bootstrap p=0.0060).,retained,"e4_results.csv, e7_results.csv",post-selection robustness,True,cross-country association | no demonstrated within-Greece dynamic | no causal claim | current conditions not ruled out | supported only as the CURRENT uninterrupted run against a fixed 2008 base; alternative constructions point the same way but do not meet the criteria,body,body,body,table,,False,"Countries differ in how long wages have stayed below where they were, and that still tracks hardship once today's conditions are accounted for."
V2-5.C6,5. Accumulated history,Housing-cost deterioration since 2010 predicts hardship (bootstrap p=0.0460) and retains a cross-country association after its current-level counterpart is controlled (conditional bootstrap p=0.0015).,retained,"e4_results.csv, e7_results.csv",post-selection robustness,True,"cross-country association | no demonstrated within-Greece dynamic | no causal claim | current conditions not ruled out | BORDERLINE: bootstrap p=0.0460, 91 of 1,999 exceedances",body,body,body,table,,False,"Countries differ in how much worse housing costs have got since 2010, and that still tracks hardship once today's conditions are accounted for."
V2-5.X,5. Accumulated history,For wage-adjusted affordability the pattern reverses: the current measure survives conditioning (bootstrap p=0.0035) while the accumulated one remains inconclusive.,retained,e7_results.csv,post-selection robustness,False,"the accumulated measure is inconclusive, NOT unsupported",body,body,body,table,,False,For affordability it is today's prices against today's wages that tracks hardship.
V2-5.Y,5. Accumulated history,"No accumulated measure permits dynamic wording. Across P5, E4 and E7 no within-country estimate is significant in the adverse direction and no first-difference test supports one.",retained,"p5f_frozen_result.json, e4_results.csv, e7_dynamic.csv",pre-planned confirmatory,True,"three RELATED checks on one panel, not independent replications | the dynamic tests were not multiplicity-corrected",body,body,body,table,,False,We cannot say hardship rose inside Greece as the damage piled up. Only that countries carrying more damage report more hardship.
V2-5.Z,5. Accumulated history,Accumulated material resources (C1) could not be tested at all: the source series begins in 2015 and no 2008 baseline exists. The baseline was not moved to make it testable.,retained,e4_feasibility.csv,descriptive corroboration,False,"infeasible, not null",body,body,body,table,,False,One promising measure simply had no history to accumulate.
V2-6.1,6. Model dependence,"Greece's residual is +6.93 (rank 3/27) in the frozen P3 specification and -9.39 (rank 25/27) when the same-instrument deprivation predictor is removed, on identical rows. Neither specification is definitive.",retained,"e6_results.csv, ea_results.csv",post-selection robustness,True,NEITHER specification is definitive | the two may not be merged or averaged | selection between them may not be made on residual size | conclusions about absorption depend materially on whether same-instrument deprivation is admitted,body,body,body,table,,False,How big the unexplained gap looks depends on whether you allow one measure that is very close to the question itself.
