id,topic,status,permitted,forbidden,relates_to_claim,evidence,detect,source,source_url,source_detail,source_status,review_date,verified_how,headline_eligible,may_support_a_claim,placement_report,placement_paper,placement_narrative,placement_appendix
CTX-1,Financial expectations and life satisfaction,descriptive corroboration,"The financial indicators are more extreme than the general-wellbeing one, which suggests domain specificity. A broader negative reporting tendency is NOT ruled out.","Describing Greece as ordinary or middling on life satisfaction: it is second-worst in the EU by 2024. And reading a worsening RANK as falling satisfaction, when the Greek level rose over the period.",V2-7.1,reporting_style_cross_indicator.csv,generic pessimism|reporting style|reporting culture,"reporting_style_cross_indicator.csv, this project",,"Greece ranks 1st of 27 on hardship and financial expectations, 2nd-6th on life satisfaction.",verified,2026-08-23,this project's own artifact,False,False,full contextual discussion with evidence-status labels,concise competing-explanations and policy-implications section,one readable chapter connecting the findings to lived institutional context,"sources, exact indicators, coverage limitations and null tests"
CTX-2,Institutional trust,contextual evidence,May affect how households interpret insecurity; available evidence does not identify an independent effect.,"Presenting trust as an explanation of the residual, or implying it was tested and found to matter.",,external literature,institutional trust|trust in institutions|trust in the state,"OECD (2024), OECD Survey on Drivers of Trust in Public Institutions - 2024 Results, Country Notes: Greece. OECD Publishing, Paris.",https://www.oecd.org/en/publications/oecd-survey-on-drivers-of-trust-in-public-institutions-2024-results-country-notes_a8004759-en/greece_56edc018-en.html,"Fieldwork October-November 2023, 30 OECD countries. 32% of Greek respondents report high or moderately high trust in central government against an OECD average of 39%.",verified,2026-08-23,"primary PDF read directly, pages 1-2",False,False,full contextual discussion with evidence-status labels,concise competing-explanations and policy-implications section,one readable chapter connecting the findings to lived institutional context,"sources, exact indicators, coverage limitations and null tests"
CTX-3,Crisis and adjustment policies,literature-grounded context,Help explain the historical setting; this project does not estimate their causal contribution.,Attributing any share of the accumulated exposure to a specific programme or measure.,,external literature,adjustment programme|adjustment program|austerity|bailout|memorandum,"Andriopoulou, E., Kanavitsa, E. & Tsakloglou, P. (2020), Decomposing Poverty in Hard Times: Greece 2007-2016. LSE GreeSE Paper No. 149.",https://www.lse.ac.uk/Hellenic-Observatory/Publications/GreeSE-Papers,"EU-SILC microdata, ELSTAT waves 2008-2017. Anchored FGT0 on a 2007 base reaches 48% at the 2013 peak.",verified,2026-08-23,read in full; recorded in docs/archive/pre-v2-publication/publication_strategy.md,False,False,full contextual discussion with evidence-status labels,concise competing-explanations and policy-implications section,one readable chapter connecting the findings to lived institutional context,"sources, exact indicators, coverage limitations and null tests"
CTX-3B,"Anchored poverty, corroborated by independent microdata",descriptive corroboration,Independent microdata evidence points in the same direction: a fixed pre-crisis poverty line shows much larger crisis-era poverty than contemporaneous AROP.,"Treating 48% against 40.6% as a direct validation test, a bias estimate, or proof that this project's reconstruction is too low by seven to eight points -- the two differ in data, anchor year, price adjustment and vintage.",V2-2.1,external analysis; not evaluated by this project's own tests,Andriopoulou|Kanavitsa|Tsakloglou|anchored FGT0,"Andriopoulou, E., Kanavitsa, E. & Tsakloglou, P. (2020), Decomposing Poverty in Hard Times: Greece 2007-2016. LSE GreeSE Paper No. 149.",https://www.lse.ac.uk/Hellenic-Observatory/Publications/GreeSE-Papers,"EU-SILC microdata via ELSTAT, analysed independently of this project. Anchored FGT0 poverty on a 2007 base reaches 48% at the 2013 income-year peak, against this project's own 40.6% for the same income year.",verified,2026-09-01,"same source already verified for CTX-3; this project's own comparable anchored-poverty figure (40.6%, survey year 2014, income year 2013) read directly from anchored_poverty.csv",False,False,full contextual discussion with evidence-status labels,concise competing-explanations and policy-implications section,one readable chapter connecting the findings to lived institutional context,"sources, exact indicators, coverage limitations and null tests"
CTX-4,Migration,contextual consequence,A plausible consequence of prolonged labour-market damage and a possible contributor to it. It is UNSUPPORTED as an independent aggregate predictor here.,"Reading it as a driver, or as ruled out. E3 tested it on this panel and found nothing (p=0.4006), which speaks to aggregate prediction and not to either causal direction.",,"e3_results.csv (null), external literature",net migration|emigration|brain drain,"Lazaretou, S. (2016), The Greek brain drain: the new pattern of Greek emigration during the recent crisis. Economic Bulletin, Bank of Greece, issue 43, pp. 31-53.",https://www.bankofgreece.gr/BogEkdoseis/econbull201607.pdf,"427,000 residents aged 15-64 left permanently 2008-2013; ~223,000 of them aged 25-39. The E3 null (p=0.4006) is this project's own evidence.",verified,2026-08-23,RePEc record confirmed: bog:econbl:y:2016:i:43:p:31,False,False,full contextual discussion with evidence-status labels,concise competing-explanations and policy-implications section,one readable chapter connecting the findings to lived institutional context,"sources, exact indicators, coverage limitations and null tests"
CTX-5,Tax burden and unequal treatment,future hypothesis,Published incidence evidence establishes that Greece's indirect tax system became markedly more regressive over the crisis. Whether that channel contributes to the hardship gap is a plausible hypothesis and is NOT tested here.,"Any quantitative statement linking tax burden to the hardship gap. The literature is about incidence, not about this outcome, and this project tested nothing on tax.",,none in this project,tax burden|tax incidence|tax system|taxation,"Kaplanoglou, G. (2015), Who Pays Indirect Taxes in Greece? From EU Entry to the Fiscal Crisis. Public Finance Review 43(4), 529-556.",https://doi.org/10.1177/1091142113517925,"Microsimulation on Household Expenditure Survey data, 1988-2011. The 2011 indirect tax system is the most regressive of the period, with the sharpest effects on families with children and the unemployed.",verified,2026-08-23,"DOI resolved to the publisher record; author, title, volume, issue, pages and year confirmed",False,False,full contextual discussion with evidence-status labels,concise competing-explanations and policy-implications section,one readable chapter connecting the findings to lived institutional context,"sources, exact indicators, coverage limitations and null tests"
CTX-6,Policy implications,author interpretation,"POLICY RECOMMENDATION, NOT AN EMPIRICAL CONCLUSION: poverty dashboards should combine AROP, its real threshold, anchored poverty, AROPE/deprivation and accumulated labour and housing indicators.",Presenting this as a finding. It follows from what the analysis showed AROP alone misses; it is not itself a result.,,"authors' reading of V2-1.2, V2-2.1, V2-5.*",policy implication|dashboard should|we recommend|should combine,"not applicable -- authors' interpretation of V2-1.2, V2-2.1 and V2-5.*",,,not applicable,2026-08-23,not applicable,False,False,full contextual discussion with evidence-status labels,concise competing-explanations and policy-implications section,one readable chapter connecting the findings to lived institutional context,"sources, exact indicators, coverage limitations and null tests"
CTX-7,Pre-crisis wellbeing baseline (ESS),descriptive corroboration,"On a balanced set of 12 countries observed in every Greek ESS round, Greece already sat about 0.8 points below the median before the crisis, fell to 5.64 by 2010/11, and recovered its LEVEL to roughly the pre-crisis value by 2023/24. Its comparative position did not recover: the gap to the balanced median is wider than before the crisis, and Greece has been worst of the 12 since 2010/11. A longstanding low-wellbeing pattern therefore remains plausible and generic pessimism or reporting culture CANNOT be dismissed.","Splicing ESS to the Eurostat EU-SILC series, or reading the two as one trajectory. Attaching any confidence interval, standard error or significance test to these means, which are approximate reconstructions from displayed weighted percentages. Comparing ALL-COUNTRY ranks across rounds, since the country set varies from 22 to 30. Treating the decade after 2010/11 as observed.",V2-7.1,"ESS Data Portal public Analysis tab, stflife, six Greek rounds",European Social Survey|ESS round|stflife|balanced 12 countries|same 12 countries|same twelve countries,"European Social Survey Data Portal, public Analysis tab for stflife (life satisfaction, 0-10), rounds 1, 2, 4, 5, 10 and 11.",https://ess.sikt.no/en/,Weighted distributions with the post-stratification weight; country means reconstructed by the authors.,verified,2026-08-23,"per-round analysis URLs recorded in data/raw/ess/ess_life_satisfaction_round_summary.csv; stated percentiles recomputed from stated ranks and country counts, all six agree",False,False,full contextual discussion with evidence-status labels,concise competing-explanations and policy-implications section,one readable chapter connecting the findings to lived institutional context,"sources, exact indicators, coverage limitations and null tests"
CTX-8,Independent descriptive corroboration (Greece in Figures),descriptive corroboration,"The independent picture -- Greece not last on actual consumption, long hours for comparatively low hourly reward, high relative prices in food and information/communication -- is consistent with and external corroboration for this project's own material-resources and wage-adjusted-affordability findings. Its central descriptive numbers reproduce against the primary Eurostat and ELSTAT releases they draw on.","Treating the article's own comparisons, or its constructed AIC-per-hour ratio, as inferential evidence: it applies no bootstrap, no FDR correction, no within/between decomposition and no model comparison, and it does not test whether these factors account for reported hardship. Merging its 2025/2026-vintage figures into this project's frozen 2015-2024 panel. Repeating its car-ownership sentence, which cites a vehicle-STOCK figure as evidence of new purchases, or its 'all Greeks travelled' generalisation, which the underlying ELSTAT survey does not support. Reading its AIC rank, hours rank or price-level figure as contradicting this project's own numbers without first noting the different vintage or aggregate behind each.",V2-4.C4,external analysis; not evaluated by this project's statistical protocol,Greece in Figures|greeceinfigures|niothoun toso ptokhoi|AIC per hour worked,"Greece in Figures, ""Γιατί οι Έλληνες νιώθουν τόσο φτωχοί"" [Why Greeks feel so poor].",https://www.greeceinfigures.com/analyses/giati-oi-ellenes-niothoun-toso-phtokhoi/,Constructs an AIC-per-hour ratio from aggregate actual individual consumption and aggregate annual hours worked; cites 2025-vintage Eurostat AIC and price-level releases and a 2026 ELSTAT resident travel bulletin.,verified,2026-08-26,"the article's headline figures (AIC per capita rank, annual hours worked, the constructed AIC-per-hour figure, overall and category price-level indices, resident trip counts) were checked one by one against the primary Eurostat AIC 2025 release, the Eurostat 2025 price-level release, the Eurostat working-week comparison and the ELSTAT resident travel survey; all reproduce. Two claims in the article do not hold up: its car-purchase sentence cites a vehicle-stock number, and its travel sentence over-generalises to all residents.",False,False,full contextual discussion with evidence-status labels,concise competing-explanations and policy-implications section,one readable chapter connecting the findings to lived institutional context,"sources, exact indicators, coverage limitations and null tests"
CTX-9,Wealth concentration since 2019,contextual evidence,"Independent ECB distributional wealth accounts show that of the €224.8bn increase in Greek household net wealth between mid-2019 and early 2026 (+32.2%), about 72.6% accrued to the wealthiest fifth of households while the bottom half accounted for about 9.2%; the bottom half's own share of total wealth slipped slightly, from roughly 9.5% to 9.4%. This offers one plausible mechanism for how aggregate recovery and persistent reported hardship can coexist: a rising net-wealth total does not evenly reach the households reporting the most difficulty.","Treating this as tested against this project's reported-hardship findings, or as an established explanation for the 52.6-point gap: it sits partly outside the 2015-2024 window and was never checked against any model here. Reading a rising net-wealth figure as equivalent to rising disposable income or an improved ability to pay bills: these changes are driven mostly by property and financial-asset valuations, not household cash flow. Treating the ECB's distributional wealth accounts as final: the ECB itself labels them experimental, combining household survey data with quarterly national accounts and extrapolating between survey waves.",,"ECB Statistical Data Warehouse API, queried directly during editorial review; not this project's own panel",distributional wealth accounts|wealth concentration since|top fifth of households|wealthiest fifth,"European Central Bank, Distributional Wealth Accounts (DWA), Greece, household sector (S14), 2019 Q2–2026 Q1.",https://data.ecb.europa.eu/data/datasets/DWA,"Net wealth rose from €698.4bn (2019 Q2) to €923.2bn (2026 Q1), +32.2%. Of the €224.8bn increase, the top decile alone gained €133.4bn; the top two deciles combined gained 72.6% of the total increase, the 6th-7th deciles 9.7%, and the bottom half 9.2%. A companion Eurostat check over the same window (namq_10_gdp) puts Greek real GDP growth at +11.7%, ranking 20th of 36 countries with both observations.",verified,2026-09-04,"recomputed directly from the ECB Statistical Data Warehouse API (data-api.ecb.europa.eu) for the total, D6, D7, D9, D10 and B50 net-wealth series, Greece household sector, 2019 Q2 vs 2026 Q1, and from the Eurostat API (namq_10_gdp) for nominal and real GDP across all 36 countries with both quarters available; every headline figure reproduces to two decimal places",False,False,full contextual discussion with evidence-status labels,concise competing-explanations and policy-implications section,one readable chapter connecting the findings to lived institutional context,"sources, exact indicators, coverage limitations and null tests"
